NON.COURSES.ID,NCRS.DESC,NCRS.SHORT.TITLE,NCRS.CAT.DESC.CC,NCRS.DESIRED.GRADES,NCRS.GRADE.SCHEME,NCRS.DESIRED.SCORE,NCRS.COURSE.EQUIVS,NCRS.MIN.SCORE,NCRS.MAX.SCORE,NCRS.TYPE,DataDatetime
CPTRC,English Placement Test,CPT Reading Comprehension,Placement,,,0,5,1,120,TEST,2017-08-24T22:02:56.332Z
PACTR,,Pre ACT Reading,Placement,,,22,334802,1,36,TEST,2017-08-24T22:02:56.332Z
TPCOMPENGI,,Tech Prep Comp Engineer I & II,Other Test,,,80,263808,0,100,TEST,2017-08-24T22:02:56.332Z
12TPMS,HS Course ID 6417 and 6419,Tech Prep MS 6417 and 6419,Other Test,,,93,321792,0,100,TEST,2017-08-24T22:02:56.332Z
TPALHLTHI,,Tech Prep Allied Health I,Other Test,,,80,262353,80,100,TEST,2017-08-24T22:02:56.332Z
ACTE,ACT English Admissions Test,ACT English,Placement,,,0,"316435, 331918",1,36,TEST,2017-08-24T22:02:56.332Z
APPHYCMEC,,AP Physics-C Mechanics,Other Test,,,4,263811,0,4,TEST,2017-08-24T22:02:56.332Z
CLEPPSY,,CLEP Psychology,Other Test,,CU,50,262478,1,100,TEST,2017-08-24T22:02:56.332Z
PTWRCSS,,PT Waiver - Reading&SentSkill,Placement,,,0,264043,8888,8888,TEST,2017-08-24T22:02:56.332Z
APWCIVII,AP Western Civilization II,AP Western Civilization II,Other Test,,,3,263002,1,4,TEST,2017-08-24T22:02:56.332Z
CRCRI,,CRC Reading for Information,Other Test,,,0,,0,0,TEST,2017-08-24T22:02:56.332Z
ACTMN,ACT Math No Credits,ACTM NO Credits,Placement,,,0,,0,0,TEST,2017-08-24T22:02:56.332Z
12TPMETAL3,Course ID 7643,Tech Prep Metals III 7643,Other Test,,,0,323964,93,100,TEST,2017-08-24T22:02:56.332Z
TPSMBUS,,Tech Prep Small Business Entr,Other Test,,,93,321778,0,100,TEST,2017-08-24T22:02:56.348Z
DMA020,Diagnostic Test for DMA 020 Fractions and Decimals,DMA020 Fractions and Decimals,Other Test,,,7,321314,1,12,TEST,2017-08-24T22:02:56.348Z
PSATCR,,PSAT Critical Reading,Placement,,,47,316429,20,80,TEST,2017-08-24T22:02:56.348Z
APART2D,Art 2D Design,AP Art 2D Design,Other Test,,,0,337269,1,5,TEST,2017-08-24T22:02:56.348Z
APARTHIS,Art History,AP Art History,Other Test,,,0,337270,1,5,TEST,2017-08-24T22:02:56.348Z
SATRN,SAT Reading No Credit,SATR No Credit,Placement,,,0,332551,0,0,TEST,2017-08-24T22:02:56.348Z
APHUMGEO,,AP Human Geography,Other Test,,,3,330999,1,5,TEST,2017-08-24T22:02:56.348Z
APECONOMIC,,AP Economics (Macro),Other Test,,,3,264681,1,5,TEST,2017-08-24T22:02:56.348Z
TPEARCHILD,,Tech Prep Early Child Cred I,Other Test,,,80,263006,0,100,TEST,2017-08-24T22:02:56.348Z
SAT16MN,SAT 2016 NO Credits,SAT16M NO Credits,Placement,,,0,332553,0,0,TEST,2017-08-24T22:02:56.348Z
PSATE,,PSAT English,Placement,,,45,"315582, 337967",0,100,TEST,2017-08-24T22:02:56.348Z
DMA040,Diagnostic test for DMA040 Express/LinEquat/Inequ,DMA040 Express/Lin Equat/Ineq,Other Test,,,7,321322,1,12,TEST,2017-08-24T22:02:56.348Z
APCHM,Advanced Placement Chemistry,AP Chemistry,Other Test,,CU,3,262346,1,5,TEST,2017-08-24T22:02:56.348Z
ASTW,English Placement Test,ASSET Writing,Placement,,,0,262277,23,55,TEST,2017-08-24T22:02:56.348Z
DRERED,,DRE Reading,Other Test,,,0,,100,200,TEST,2017-08-24T22:02:56.348Z
PTWCHM,,Chemistry Waiver,Placement,,,9999,262482,9999,9999,TEST,2017-08-24T22:02:56.348Z
HGPA,Non Course for high school GPA,GPA ENG & MATH,High School GPA,44,HSGPA,0,332278,0,0,HSGPA,2017-08-24T22:02:56.348Z
APPOL,,AP American Government,Other Test,,,3,262483,1,5,TEST,2017-08-24T22:02:56.348Z
DMA060,Diagnostic test for DMA060 Polynomials and Quadrat,DMA060 Polynomials and Quadra,Other Test,,,7,321324,1,12,TEST,2017-08-24T22:02:56.348Z
APSTAT,Advanced Placement Statistics,AP Statistics,Other Test,,,3,262359,1,5,TEST,2017-08-24T22:02:56.348Z
TOEFLC,Test of English as a Foreign Language (Comp Vers),TOEFLC,Admissions,,,0,262274,213,0,TEST,2017-08-24T22:02:56.348Z
PLANR,,PLAN Reading,Placement,,,17,316431,1,32,TEST,2017-08-24T22:02:56.348Z
DMA080,Diagnostic exam for DMA 080 Radical Expressions,DMA080 Radical Expressions,Other Test,,,7,321326,1,12,TEST,2017-08-24T22:02:56.348Z
APCALBC,AP Math Calculus BC,AP Calculus BC,Other Test,,,3,264680,1,5,TEST,2017-08-24T22:02:56.348Z
TPDRAFTII,Drafting Architechture I & II,Tech Prep Draft Arch I & II,Other Test,,,80,263000,80,100,TEST,2017-08-24T22:02:56.348Z
SAT16RW,SAT 2016 Evidence-Based Reading & Writing,SAT 2016 Reading & Writing,Placement,,,480,333396,200,800,TEST,2017-08-24T22:02:56.364Z
PTWAR,,DO NOT USE Arithmetic Waiver,Placement,,,9999,11,9999,9999,TEST,2017-08-24T22:02:56.364Z
TPMETALSII,,Tech Prep Metals Manufact II,Other Test,,,80,262998,80,100,TEST,2017-08-24T22:02:56.364Z
SATM,SAT Math Score,SAT Math,Placement,,,0,4,500,800,TEST,2017-08-24T22:02:56.364Z
ASTEA,Math Placement Test,ASSET Elementary Algebra,Placement,,,0,262280,23,55,TEST,2017-08-24T22:02:56.364Z
TPMMWD,,Tech Prep Multi-Media Web Des,Other Test,,,93,321771,0,100,TEST,2017-08-24T22:02:56.364Z
12HEASCI,,Tech Prep Health Sci I 7420,Other Test,,,93,316666,0,100,TEST,2017-08-24T22:02:56.364Z
TPKEY,,Tech Prep Keyboarding,Other Test,,,80,262357,80,100,TEST,2017-08-24T22:02:56.364Z
TPPERFIN,,Tech Prep Per Finance 7086,Other Test,,,93,321777,0,100,TEST,2017-08-24T22:02:56.364Z
PACTE,,Pre ACT English,Placement,,,18,334801,1,36,TEST,2017-08-24T22:02:56.364Z
TEAS,TEAS Nursing Admissions Assessment,TEAS Nursing Assessment,Admissions,,,0,,0,0,TEST,2017-08-24T22:02:56.364Z
AEDRE,,Dre - Adult Ed,Placement,,,0,,0,0,TEST,2017-08-24T22:02:56.364Z
ACCRCSS,,Accuplacer Reading & SS,Placement,,,0,326406,0,240,TEST,2017-08-24T22:02:56.364Z
DMAW20,DMA 020 Waiver; completed DMA 020 at another CC,DMA 020 Waiver,Other Test,,,5555,321328,5555,5555,TEST,2017-08-24T22:02:56.364Z
TPCOMPAPP,HS Course ID 6411,Tech Prep Comp App I,Other Test,,,80,262352,80,100,TEST,2017-08-24T22:02:56.364Z
NCCTM,NC Competency Test in Math,Math Comp Test,Other Test,,,0,,0,0,TEST,2017-08-24T22:02:56.364Z
CLEPHUM,,CLEP Humanities,Other Test,,,42,264108,20,80,TEST,2017-08-24T22:02:56.364Z
