COURSE.SECTIONS.ID,SEC.TERM,SEC.COURSE,SEC.NAME,SEC.NO,SEC.USER1,SEC.USER6,SEC.LOCATION,SEC.LOCATION.DESC.CC,SEC.CAPACITY,SEC.EVERY.STUDENT.COUNT,SEC.STUDENTS.COUNT,SEC.AUDIT.STUDENT.COUNT,SEC.ACAD.LEVEL,SEC.CRED.TYPE,SEC.MIN.CRED,SEC.MAX.CRED,SEC.BILLING.CRED,XSEC.FTE.COUNT,XSEC.FTE.CONTACT,SEC.CEUS,SEC.CONTACT.HOURS,SEC.COURSE.LEVELS,SEC.STATUS.ACTION1,SEC.STATUS,DataDatetime
27796,2017SP,S12105,MAC-151-T01,T01,WB,,HTC,Regional High Technology Cente,20,7,7,0,CU,IN,2,0,2,6,48,0,"1.00, 2.00","AAS, DIP, CER",1,A,2018-03-03T02:06:29.384Z
27797,2017SP,S23487,ELN-131-T01,T01,TR,,HTC,Regional High Technology Cente,20,0,0,0,CU,IN,4,0,4,0,96,0,"3.00, 3.00","AAS, DIP, CER",2,C,2018-03-03T02:06:29.384Z
27798,2017SP,S23481,ELC-112-C01,C01,TR,,HS,High School,20,13,13,0,CU,IN,5,0,5,11,144,0,"3.00, 6.00","AAS, DIP, CER",1,A,2018-03-03T02:06:29.400Z
27799,2017SP,S20282,ACC-121-01,1,WB,,MC,Main Campus,23,1,1,0,CU,IN,4,0,4,0,80,0,"3.00, 2.00","CAA, AAS, DIP, CER",2,C,2018-03-03T02:06:29.400Z
27800,2017SP,S20282,ACC-121-IN1,IN1,IN,,OL,Online Cu Classes,25,23,23,0,CU,IN,4,0,4,19,80,0,"3.00, 2.00","CAA, AAS, DIP, CER",1,A,2018-03-03T02:06:29.416Z
27801,2017SP,S20277,ACC-130-IN1,IN1,IN,,OL,Online Cu Classes,25,13,13,0,CU,IN,3,0,3,13,64,0,"2.00, 2.00","AAS, DIP, CER",1,A,2018-03-03T02:06:29.416Z
27802,2017SP,S20281,ACC-140-IN1,IN1,IN,,OL,Online Cu Classes,25,9,9,0,CU,IN,2,0,2,8,48,0,"1.00, 2.00","AAS, DIP, CER",1,A,2018-03-03T02:06:29.416Z
27803,2017SP,S10687,ACC-221-IN1,IN1,IN,,OL,Online Cu Classes,25,13,13,0,CU,IN,4,0,4,12,80,0,"3.00, 2.00","AAS, DIP, CER",1,A,2018-03-03T02:06:29.431Z
27804,2017SP,S21582,ATR-214-N1,N1,TR,,HTC,Regional High Technology Cente,15,3,3,0,CU,IN,4,0,4,3,96,0,"3.00, 3.00","AAS, DIP, CER",1,A,2018-03-03T02:06:29.431Z
27805,2017SP,S10171,AUB-111-01,1,TR,,MC,Main Campus,15,8,8,0,CU,IN,4,0,4,8,128,0,"2.00, 6.00","AAS, DIP, CER",1,A,2018-03-03T02:06:29.431Z
27806,2017SP,S12174,AUB-122-01,1,TR,,MC,Main Campus,15,6,6,0,CU,IN,4,0,4,5,128,0,"2.00, 6.00","AAS, DIP, CER",1,A,2018-03-03T02:06:29.447Z
27807,2017SP,S10775,AUB-132-01,1,TR,,MC,Main Campus,15,3,3,0,CU,IN,4,0,4,3,128,0,"2.00, 6.00","AAS, DIP, CER",1,A,2018-03-03T02:06:29.447Z
27808,2017SP,S10373,AUB-150-01,1,TR,,MC,Main Campus,20,11,11,0,CU,IN,2,0,2,10,64,0,"1.00, 3.00","AAS, DIP, CER",1,A,2018-03-03T02:06:29.463Z
27809,2017SP,S12230,AUB-121-01,1,TR,,MC,Main Campus,15,6,6,0,CU,IN,3,0,3,6,80,0,"1.00, 4.00","AAS, DIP, CER",1,A,2018-03-03T02:06:29.463Z
