"DATA.ELEMENT","COMPUTED.COLUMN.CODE","CONVERTED.FROM","DATA.TYPE","DATABASE.USAGE.TYPE","DEFAULT.DISPLAY.SECURE","DEFAULT.DISPLAY.SIZE","DEFAULT.INPUT.PROMPT","DEFAULT.SAMPLE.DATA","DEFAULT.ZERO.PAD","DERIVED.SEC.PTR","DT1","DT2","DT3","DT4","DT5","ELEMENT.ASSOC.NAME","ELEMENT.ASSOC.TYPE","ELEMENT.POINTED.FROM","ELEMENT.POINTED.TO","FIELD.PLACEMENT","INFORM.CONVERSION.STRING","INFORM.FORMAT.STRING","MAXIMUM.STORAGE.SIZE","PURPOSE","REPORT.HEADER","SOURCE","TRUNCATION.FLAG","VALIDATION.TABLE","TOOLCDD.ADD.DATE","TOOLCDD.ADD.OPERATOR","TOOLCDD.CHANGE.DATE","TOOLCDD.CHANGE.OPERATOR","DataDatetime"
"ATGENSDF.KEY","","","","K","","32","","","","","","","","","","","","","","0","","32L","0","","","ATGENSDF","","","1993-08-10","ALEX","","","2020-06-01T17:13:41.311Z"
"AUTO.XREF.ELEMENTS","","","","L","N","32","","LAST.NAME","N","","","","","","","","","","","132","","32L","32","Indicates which translate idescriptors the system, builds in this file pointing to fields in other files., These hold CDD elements which contain further data, about the foreign elements file file and position","","TOOLFILE","N","","1998-08-06","RGH","","","2020-06-01T17:13:41.889Z"
"AVERAGE.RECORD.LENGTH","","","N","D","N","4","Est Record Size","","N","","N","0","N","N","","","","","","5","MD0","4R","6","Calculated length of a record based on CDD storage sizes","","TOOLFILE","N","","1987-08-21","RGH","","","2020-06-01T17:13:41.498Z"
"B2CMAP.ID","","","","K","","10","","","","","","","","","","","","","","0","","10L","0","","","B2CMAP","","","1994-10-10","CT7","","","2020-06-01T17:13:41.920Z"
"B2CMAP.LONG.FILE","","","","A","","20","","","","","","","","","","B2CMAP.FILES","K","","","1","","20L","0","","","B2CMAP","","","1994-10-10","CT7","","","2020-06-01T17:13:41.826Z"
"B2CMAP.SHRT.FILE","","","","A","","20","","","","","","","","","","B2CMAP.FILES","D","","","3","","20L","0","","","B2CMAP","","","1994-10-10","CT7","","","2020-06-01T17:13:41.404Z"
"B2CMAP.TEMP.FILE","","","","A","","20","","","N","","","","","","","B2CMAP.FILES","D","","","2","","20L","0","","","B2CMAP","","","1994-10-10","CT7","","","2020-06-01T17:13:41.795Z"
"BATCH.ARGUMENT.DESCS","","","","A","","45","Argument Description","","","","","","","","","BPRCSGP","D","","","72","","45L","45","","","BPRCSDEF","","","1988-07-15","KIM","","","2020-06-01T17:13:41.561Z"
"BATCH.ARGUMENT.NAMES","","","","A","","20","Argument Name","","","","","","","","","BPRCSGP","K","","","55","","20L","20","","","BPRCSDEF","","","1988-07-08","KIM","","","2020-06-01T17:13:41.842Z"
"BATCH.CANCEL.HOOK","","","","H","","40","","","","","","","","","","","","","","59","","40L","46","","","BPRCSDEF","","","1988-07-08","KIM","","","2020-06-01T17:13:41.748Z"
